Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Brunei Darussalam,,,,,,1113.402447,1237.079237,1235.892097,1363.453044,1303.739413,1381.972167,1455.308336,1906.192984,2915.266583,6921.436446,7226.430873,8459.324214,9914.123812,10711.86604,14941.0624,25412.99495,21821.79499,20687.39975,18123.85989,17332.97479,15694.53999,10211.59628,11591.78627,11006.87051,11869.98727,13604.15683,13901.72173,15270.48612,14572.10853,14117.39214,15929.16376,16789.03717,16656.08988,12690.68932,14097.93159,18008.44826,16468.12886,16846.02198,18555.56649,21896.60527,26102.13345,30980.96692,32672.36717,37951.2806,27965.47504,35268.10117,47017.0273,47651.25909,44597.27968,41530.66898,30967.89051,26939.41751,
Indonesia,,,,,,,,56.98005693,69.23718789,79.40131553,84.8434192,84.27318295,96.72452802,139.4578302,215.5294056,248.1230768,296.1066251,355.1791972,389.4780269,379.90834,523.246753,603.0879338,621.2956915,546.0398033,559.2253062,550.3227734,505.5117832,470.7667531,512.8922707,564.2322037,622.8660132,672.5881106,725.9760689,881.3616821,971.1075966,1092.697237,1210.948122,1132.562479,493.9995683,714.5453308,830.5845879,796.3958746,957.7806429,1133.411259,1222.911783,1342.544156,1688.874304,1975.167375,2300.370675,2400.367644,3113.480635,3634.276805,3687.953996,3620.663981,3491.595887,3336.106686,3570.294888,
Cambodia,111.3424797,109.4594743,109.4790454,117.8203826,123.6431914,134.304155,138.8486264,144.025565,157.2146035,142.2949629,102.7043272,135.8847756,69.25190618,94.38327605,78.1318239,,,,,,,,,,,,,,,,,,,254.1791425,270.6091637,323.0099928,319.3632544,304.837993,269.054641,295.9735957,300.6850949,321.2263004,339.0676984,362.4213785,408.6105184,474.2238766,539.8791529,631.675789,745.7877873,738.2326684,785.6928841,882.4901462,950.0244132,1028.419568,1098.687123,1163.18977,1269.907238,
Lao PDR,,,,,,,,,,,,,,,,,,,,,,,,,489.9487271,641.7386315,468.3241706,278.4193909,148.9844077,172.5414268,203.2559698,234.7193694,250.4922292,287.1875929,325.6292418,363.4716183,377.9712559,345.4969431,248.5413984,277.4951028,324.8450496,326.6408434,319.8270584,362.6252958,417.7516561,475.4164695,590.3013108,709.767087,899.4950787,948.1276421,1141.127115,1304.384015,1588.633147,1838.80602,2017.587781,2159.433735,2353.136848,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.1874804,138.9249275,143.7760051,219.782326,219.8156688,247.2427006,296.9007284,410.4500001,643.9513703,741.0777116,987.7365832,1186.423937,1175.561788,1171.464477,1260.422411,1138.992271,1195.515372,
Malaysia,234.9168929,225.9164441,230.2479322,279.7084079,289.0049804,310.3277629,321.0974731,317.4289184,323.4082024,347.3786592,357.6618643,383.6748013,445.3511803,661.0192698,799.9231515,764.5550632,886.2154728,1027.274198,1246.535891,1576.029369,1774.73631,1769.126939,1852.330981,2047.882636,2234.356477,2000.145978,1728.543559,1947.442371,2071.45488,2215.3645,2440.591801,2652.144224,3111.976879,3431.370186,3726.340667,4328.000018,4797.291371,4637.320481,3263.520983,3493.465229,4045.170471,3915.115046,4167.364387,4463.675893,4955.477743,5593.822995,6222.982955,7269.17114,8513.629541,7326.744435,9071.356987,10405.12062,10779.50751,10882.2891,11183.72943,9648.553455,9508.23775,
Philippines,254.4270713,267.1477741,156.6821543,168.0169674,175.9311979,187.1130075,199.9355679,207.4273438,224.6232985,241.702003,186.7687599,201.0337488,211.4010317,258.3627432,343.2416776,360.6713782,402.6632806,450.1249996,506.0851717,596.3952749,684.6543822,731.7250081,741.7871342,645.4602926,594.0255763,565.7634673,535.2358351,579.2011114,643.8152509,704.9820782,715.3105853,715.1419199,814.0752868,815.7221676,939.1559312,1061.347868,1159.589292,1127.003716,966.708438,1087.237365,1038.910977,957.2807441,1000.068135,1010.553196,1079.03715,1194.697155,1391.772325,1672.685433,1919.466195,1825.341521,2129.499247,2352.518156,2581.818554,2760.289146,2842.938353,2878.33837,2951.071929,
Singapore,427.8804072,448.9591838,471.8805129,510.9871891,485.3032598,516.2929285,566.5374796,625.7196767,708.2651095,812.2669633,925.2873894,1070.824033,1263.659334,1684.341085,2339.570287,2489.784619,2758.664549,2845.883449,3193.330882,3899.574157,4926.958023,5595.239935,6075.595318,6629.942539,7223.398287,6995.101303,6793.544937,7531.250196,8902.412337,10380.28028,11864.28021,14505.02039,16144.00819,18302.4304,21578.46053,24936.83083,26263.01627,26386.45745,21824.03558,21795.69696,23792.60707,21577.07823,22016.83279,23573.62804,27405.27136,29869.85398,33579.85948,39223.58187,39721.04818,38577.55822,46569.67951,53166.67581,54431.16199,56029.18914,56336.07234,53629.73746,52962.49157,
Thailand,100.7675964,107.4979324,113.7825016,118.1432447,125.9378949,137.9180399,161.0056836,166.9245459,174.78713,186.8806541,192.125665,194.2582535,209.3565565,269.8517747,332.1171748,351.5475169,391.4830109,445.3194956,528.5062578,589.750884,682.7734555,720.8917652,742.6752585,797.8852163,817.8274615,747.4941323,813.2003615,936.4587224,1123.011814,1294.932165,1508.285774,1715.638125,1926.987525,2208.345294,2490.311547,2845.410314,3042.903989,2467.492895,1845.466238,2032.992147,2007.564826,1893.145377,2096.054617,2358.930629,2659.839108,2893.651356,3368.952576,3972.206475,4378.687406,4212.054902,5075.302176,5491.159981,5859.915622,6171.262444,5941.84071,5814.863134,5910.620932,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,239.4286849,437.1295167,593.6535846,401.8749134,97.15788703,98.03187384,142.9658894,144.1486607,189.2605101,229.9547972,288.0202854,337.0500662,361.2544789,360.6007987,374.4764331,401.5478167,415.7337938,440.8488742,491.5346254,557.8323046,699.4997775,796.6715738,919.2092656,1164.612525,1232.370355,1333.583524,1542.669881,1754.547974,1907.564382,2052.319084,2107.012927,2214.387662,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
